edge,beta_below_mean_norm,beta_below_hdi_low_norm,beta_below_hdi_high_norm,beta_above_mean_norm,beta_above_hdi_low_norm,beta_above_hdi_high_norm,theta_mean_norm,theta_hdi_low_norm,theta_hdi_high_norm,beta_below_mean_raw,beta_below_hdi_low_raw,beta_below_hdi_high_raw,beta_above_mean_raw,beta_above_hdi_low_raw,beta_above_hdi_high_raw,theta_mean_raw,theta_hdi_low_raw,theta_hdi_high_raw,confounders_used,effect_type,ate_mean,ate_ci_low,ate_ci_high
zone2Minutes_to_sleepQuality,0.193,0.03,0.367,0.186,-0.074,0.412,0.186,-2.143,2.699,0.03793756840529844,0.005897031358336545,0.0721403502836504,0.03656159442168658,-0.01454601068389681,0.08098589732115521,49.5757771315502,9.7416557164103,92.55694807025631,precipitationFlag,,,,
zone2Minutes_to_affectToday,0.272,0.051,0.452,0.371,0.239,0.564,-0.382,-2.576,2.226,0.019753685097421626,0.0037038159557665545,0.032825976706009466,0.02694344548214494,0.017357098302513852,0.040959847040241894,39.86097208054141,2.335827218018032,84.4669783710888,precipitationFlag,,,,
trainingFatigueScore_to_sleepQuality,-0.553,-0.818,-0.355,-0.823,-0.865,-0.775,-3.108,-4.569,-1.954,-0.25934280222004935,-0.3836209985822791,-0.1664858856927984,-0.38596587021175516,-0.40566279189935384,-0.36345510256878527,50.47815034633411,40.00447555607818,58.75099135109479,zone2Minutes,,,,
precipitationFlag_to_zone2Minutes,,,,,,,,,,,,,,,,,,,None,ATE,-1.4996475797804152,-1.6666439792538692,-1.332651180306962
precipitationFlag_to_sleepQuality,,,,,,,,,,,,,,,,,,,None,ATE,-0.9789976848051757,-1.183047057868734,-0.7749483117416168
precipitationFlag_to_affectToday,,,,,,,,,,,,,,,,,,,None,ATE,-1.7055447405193072,-1.849964814256939,-1.5611246667816745
